contributors,coordinates,created_at,entities.hashtags.0.indices.0,entities.hashtags.0.indices.1,entities.hashtags.0.text,entities.media.0.display_url,entities.media.0.expanded_url,entities.media.0.id,entities.media.0.id_str,entities.media.0.indices.0,entities.media.0.indices.1,entities.media.0.media_url,entities.media.0.media_url_https,entities.media.0.sizes.large.h,entities.media.0.sizes.large.resize,entities.media.0.sizes.large.w,entities.media.0.sizes.medium.h,entities.media.0.sizes.medium.resize,entities.media.0.sizes.medium.w,entities.media.0.sizes.small.h,entities.media.0.sizes.small.resize,entities.media.0.sizes.small.w,entities.media.0.sizes.thumb.h,entities.media.0.sizes.thumb.resize,entities.media.0.sizes.thumb.w,entities.media.0.type,entities.media.0.url,entities.user_mentions.0.id,entities.user_mentions.0.id_str,entities.user_mentions.0.indices.0,entities.user_mentions.0.indices.1,entities.user_mentions.0.name,entities.user_mentions.0.screen_name,extended_entities.media.0.display_url,extended_entities.media.0.expanded_url,extended_entities.media.0.id,extended_entities.media.0.id_str,extended_entities.media.0.indices.0,extended_entities.media.0.indices.1,extended_entities.media.0.media_url,extended_entities.media.0.media_url_https,extended_entities.media.0.sizes.large.h,extended_entities.media.0.sizes.large.resize,extended_entities.media.0.sizes.large.w,extended_entities.media.0.sizes.medium.h,extended_entities.media.0.sizes.medium.resize,extended_entities.media.0.sizes.medium.w,extended_entities.media.0.sizes.small.h,extended_entities.media.0.sizes.small.resize,extended_entities.media.0.sizes.small.w,extended_entities.media.0.sizes.thumb.h,extended_entities.media.0.sizes.thumb.resize,extended_entities.media.0.sizes.thumb.w,extended_entities.media.0.type,extended_entities.media.0.url,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,text,truncated,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.url.urls.0.display_url,user.entities.url.urls.0.expanded_url,user.entities.url.urls.0.indices.0,user.entities.url.urls.0.indices.1,user.entities.url.urls.0.url,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified
None,None,Sun Dec 27 18:10:32 +0000 2020,,,,pic.twitter.com/csnEz5644s,https://twitter.com/HSrishab/status/1343257976363077632/photo/1,1343257247107858432,1343257247107858432,63,86,http://pbs.twimg.com/media/EqQ1WW_VQAAELOm.jpg,https://pbs.twimg.com/media/EqQ1WW_VQAAELOm.jpg,796,fit,1863,513,fit,1200,291,fit,680,150,crop,150,photo,https://t.co/csnEz5644s,,,,,,,pic.twitter.com/csnEz5644s,https://twitter.com/HSrishab/status/1343257976363077632/photo/1,1343257247107858432,1343257247107858432,63,86,http://pbs.twimg.com/media/EqQ1WW_VQAAELOm.jpg,https://pbs.twimg.com/media/EqQ1WW_VQAAELOm.jpg,796,fit,1863,513,fit,1200,291,fit,680,150,crop,150,photo,https://t.co/csnEz5644s,6,False,None,1343257976363077632,1343257976363077632,None,None,None,None,None,False,en,None,False,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",First meet with some new people I met from all over the world! https://t.co/csnEz5644s,False,False,Mon Jun 24 11:14:26 +0000 2019,True,True,Computer Science Student | Exploring IoT | Member @amfoss_in,lazycodes7.github.io,https://lazycodes7.github.io,0,23,https://t.co/N4UuQWPXAH,14,False,10,True,46,False,True,1143115156295077888,1143115156295077888,False,False,None,0,"Nagpur, Maharashtra",Rishab Mudliar,False,F5F8FA,None,None,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,HSrishab,4,None,none,https://t.co/N4UuQWPXAH,None,False
None,None,Thu Oct 10 15:16:33 +0000 2019,67,80,hactoberfest,,,,,,,,,,,,,,,,,,,,,,,96796249,96796249,0,10,FOSS@Amrita,amfoss_in,,,,,,,,,,,,,,,,,,,,,,,1,False,None,1182313979932229638,1182313979932229638,amfoss_in,None,None,96796249,96796249,False,en,None,,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@amfoss_in 
It was a great experience here and learning new things
#hactoberfest",False,False,Mon Jun 24 11:14:26 +0000 2019,True,True,Computer Science Student | Exploring IoT | Member @amfoss_in,lazycodes7.github.io,https://lazycodes7.github.io,0,23,https://t.co/N4UuQWPXAH,14,False,10,True,46,False,True,1143115156295077888,1143115156295077888,False,False,None,0,"Nagpur, Maharashtra",Rishab Mudliar,False,F5F8FA,None,None,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,HSrishab,4,None,none,https://t.co/N4UuQWPXAH,None,False
None,None,Wed Jul 17 05:24:29 +0000 2019,,,,,,,,,,,,,,,,,,,,,,,,,,55793415,55793415,0,12,KJ Cheetham ❄️🔶,kj_cheetham,,,,,,,,,,,,,,,,,,,,,,,0,False,None,1151362012569456641,1151362012569456641,kj_cheetham,1149966666836656128,1149966666836656128,55793415,55793415,False,en,None,,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@kj_cheetham This is damn easy just apply bodmas,False,False,Mon Jun 24 11:14:26 +0000 2019,True,True,Computer Science Student | Exploring IoT | Member @amfoss_in,lazycodes7.github.io,https://lazycodes7.github.io,0,23,https://t.co/N4UuQWPXAH,14,False,10,True,46,False,True,1143115156295077888,1143115156295077888,False,False,None,0,"Nagpur, Maharashtra",Rishab Mudliar,False,F5F8FA,None,None,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,HSrishab,4,None,none,https://t.co/N4UuQWPXAH,None,False
